Date,Open,High,Low,Close,Adj Close,Volume
2000-06-16,18.125,18.5,18.0,18.25,18.25,57900
2000-06-19,18.25,18.5,18.0,18.0,18.0,151400
2000-06-20,18.062401,19.625,15.75,18.75,18.75,130800
2000-06-21,20.0,22.25,19.25,22.0,22.0,260200
2000-06-22,22.125,22.25,19.062401,19.75,19.75,95300
2000-06-23,20.375,21.25,20.0,20.75,20.75,68300
2000-06-26,21.0,21.25,19.5,20.0,20.0,50900
2000-06-27,20.0,20.875,18.0,19.0,19.0,68400
2000-06-28,19.25,19.75,18.25,19.25,19.25,92000
2000-06-29,19.75,19.75,18.0,18.0,18.0,92700
2000-06-30,18.625,19.25,18.25,18.875,18.875,95500
2000-07-03,19.5,19.5,19.0,19.25,19.25,16000
2000-07-05,19.5,20.0,19.0,20.0,20.0,69100
2000-07-06,20.0,20.125,18.875,19.5,19.5,64900
2000-07-07,20.062401,23.25,19.125,20.5,20.5,396800
2000-07-10,22.125,26.5,20.875,25.125,25.125,314500
2000-07-11,27.125,28.5,23.75,25.5,25.5,668500
2000-07-12,27.937401,30.875,25.375,30.0,30.0,547300
2000-07-13,36.0,36.25,32.25,33.5,33.5,610100
2000-07-14,35.25,35.5,29.75,31.0,31.0,281900
2000-07-17,32.0,32.25,30.5,31.25,31.25,92200
2000-07-18,31.375,31.875,28.75,29.0,29.0,67100
2000-07-19,28.75,29.0,26.25,28.0,28.0,88100
2000-07-20,27.625,33.25,27.25,31.75,31.75,131600
2000-07-21,31.75,34.25,31.25,34.25,34.25,95300
2000-07-24,34.0,35.5,32.125,33.5,33.5,93100
2000-07-25,33.75,34.5,31.0,32.25,32.25,48300
2000-07-26,32.25,35.0,28.25,34.75,34.75,98200
2000-07-27,33.5,38.0,33.0,34.25,34.25,111600
2000-07-28,34.25,34.375,31.0,32.5,32.5,75700
2000-07-31,32.0,38.125,29.75,37.75,37.75,159800
2000-08-01,35.875,36.25,34.75,34.875,34.875,49600
2000-08-02,35.0,36.375,34.0,34.125,34.125,33100
2000-08-03,34.0,36.0,33.0,35.125,35.125,24500
2000-08-04,36.0,36.125,33.75,34.125,34.125,40700
2000-08-07,34.0,34.75,31.0,32.0,32.0,58000
2000-08-08,33.5,33.5,31.0,31.5,31.5,16500
2000-08-09,31.437401,31.875,29.0,29.375,29.375,39400
2000-08-10,29.5,31.25,29.25,29.5,29.5,25100
2000-08-11,28.625,29.5,26.375,28.0,28.0,43100
2000-08-14,29.312401,29.312401,28.0,28.0,28.0,18600
2000-08-15,27.875,28.0,25.25,25.25,25.25,68500
