Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.5625,9.625,9.375,9.46875,7.903355,11339200
2000-01-04,9.40625,9.84375,9.375,9.78125,8.164192,17990600
2000-01-05,9.71875,10.09375,9.6875,9.9375,8.294611999999999,15291000
2000-01-06,9.9375,9.9375,9.28125,9.5625,7.981606,17686400
2000-01-07,9.5,9.625,9.34375,9.46875,7.903355,13358200
2000-01-10,9.46875,9.46875,9.21875,9.21875,7.694683,8824000
2000-01-11,8.96875,9.25,8.90625,9.15625,7.642517999999999,9792600
2000-01-12,9.125,9.53125,9.125,9.28125,7.746853999999999,6635800
2000-01-13,9.3125,9.59375,9.15625,9.5,7.929441000000001,11179800
2000-01-14,9.53125,9.5625,9.125,9.21875,7.694683,6856800
2000-01-18,9.3125,9.3125,8.8125,9.0,7.512098,9452200
2000-01-19,9.0,9.09375,8.875,9.0,7.512098,5676200
2000-01-20,9.03125,9.03125,8.59375,8.6875,7.251264,7137800
2000-01-21,8.71875,8.71875,8.34375,8.40625,7.016508999999999,8151000
2000-01-24,8.5,8.5625,8.03125,8.15625,6.807841000000001,11600200
2000-01-25,8.09375,8.125,7.90625,8.0625,6.729589999999999,7716600
2000-01-26,8.03125,8.40625,8.03125,8.25,6.886089999999999,13237000
2000-01-27,8.4375,8.84375,8.40625,8.46875,7.068678,14937000
2000-01-28,8.40625,8.5625,8.28125,8.28125,6.912176,8821200
2000-01-31,8.46875,8.8125,8.40625,8.6875,7.251264,8737600
2000-02-01,8.71875,8.875,8.59375,8.875,7.4077649999999995,6502000
2000-02-02,8.84375,9.125,8.65625,9.09375,7.5903529999999995,7734200
2000-02-03,9.125,9.25,8.8125,9.0,7.512098,11771600
2000-02-04,8.875,8.90625,8.46875,8.8125,7.355598,8523000
2000-02-07,8.46875,8.75,8.4375,8.46875,7.068678,5190200
2000-02-08,8.5625,8.90625,8.5,8.90625,7.433851,6891400
2000-02-09,8.8125,8.8125,8.46875,8.5,7.094763,5223600
2000-02-10,8.5,8.6875,7.96875,8.09375,6.755672,10187400
2000-02-11,8.21875,8.46875,8.125,8.375,6.990425999999999,8325200
2000-02-14,8.21875,8.25,7.9375,8.1875,6.833925,7594200
2000-02-15,8.15625,8.625,8.0625,8.5,7.094763,7580000
2000-02-16,8.40625,8.5,8.09375,8.40625,7.016508999999999,5244400
2000-02-17,8.25,8.3125,7.90625,7.96875,6.651339,7695000
2000-02-18,7.9375,7.96875,7.5,7.5,6.260083,8752400
2000-02-22,7.53125,7.75,7.5,7.59375,6.338335,7441800
2000-02-23,7.53125,7.6875,7.4375,7.53125,6.286167,9155800
2000-02-24,7.59375,7.625,7.1875,7.375,6.155748,8360400
2000-02-25,7.1875,7.3125,7.03125,7.09375,5.920995,13766200
2000-02-28,7.5,7.6875,7.28125,7.5625,6.312252,9052800
2000-02-29,7.5625,7.65625,7.375,7.46875,6.233999,9811600
2000-03-01,7.46875,7.53125,7.3125,7.40625,6.181833,6097000
2000-03-02,7.46875,7.46875,7.25,7.28125,6.077497,6579800
2000-03-03,7.4375,7.53125,7.34375,7.375,6.155748,9071400
2000-03-06,7.46875,7.625,7.3125,7.46875,6.233999,6285200
2000-03-07,7.4375,7.46875,7.25,7.375,6.155748,7321200
2000-03-08,7.34375,7.75,7.125,7.6875,6.416583999999999,11982000
2000-03-09,7.65625,7.65625,7.25,7.40625,6.181833,9740600
2000-03-10,7.40625,7.5625,7.28125,7.375,6.155748,8901800
2000-03-13,7.34375,7.5,7.25,7.46875,6.233999,8371400
2000-03-14,7.4375,7.46875,7.1875,7.21875,6.025329,17360800
2000-03-15,7.21875,7.5,7.03125,7.4375,6.207917,16044000
2000-03-16,7.5,7.84375,7.4375,7.78125,6.494836,19580000
2000-03-17,7.90625,8.75,7.875,8.34375,6.9643429999999995,24912800
2000-03-20,8.34375,8.46875,7.96875,8.03125,6.703506,6327600
2000-03-21,8.0,8.5,7.90625,8.3125,6.9382600000000005,6636200
2000-03-22,8.40625,8.71875,8.375,8.59375,7.173012,6431600
2000-03-23,8.625,8.78125,8.1875,8.3125,6.9382600000000005,6318600
2000-03-24,8.3125,9.125,8.3125,8.9375,7.459931,10621400
2000-03-27,8.875,8.90625,8.65625,8.71875,7.2773460000000005,4420000
2000-03-28,8.5,9.09375,8.5,8.625,7.199097999999999,6712800
2000-03-29,8.65625,8.875,8.65625,8.84375,7.3816809999999995,6470000
