Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,38.0,38.0625,35.375,35.375,35.375,51400
2000-01-04,35.375,35.375,34.1875,34.625,34.625,106100
2000-01-05,34.875,34.875,33.8125,33.875,33.875,162100
2000-01-06,33.9375,34.875,33.5,34.625,34.625,245000
2000-01-07,34.5625,35.75,34.5625,35.625,35.625,215200
2000-01-10,35.8125,37.25,35.8125,37.25,37.25,78900
2000-01-11,37.125,37.125,35.875,36.0625,36.0625,90500
2000-01-12,36.0625,36.0625,35.75,35.875,35.875,30000
2000-01-13,35.9375,36.0,35.625,35.875,35.875,80400
2000-01-14,35.9375,36.0,35.1875,35.5,35.5,47100
2000-01-18,35.375,35.375,34.875,35.125,35.125,87500
2000-01-19,35.0,35.4375,35.0,35.3125,35.3125,117400
2000-01-20,35.4375,35.875,34.625,34.875,34.875,84400
2000-01-21,34.625,35.0,34.625,34.875,34.875,55000
2000-01-24,35.0,35.4375,34.625,34.625,34.625,74000
2000-01-25,34.5625,34.6875,33.75,34.1875,34.1875,70800
2000-01-26,34.1875,34.375,33.9375,33.9375,33.9375,29900
2000-01-27,33.9375,34.0625,33.0,33.1875,33.1875,49200
2000-01-28,33.0,33.0,31.8125,32.3125,32.3125,76800
2000-01-31,32.4375,32.625,31.8125,31.875,31.875,101600
2000-02-01,32.125,32.9375,31.875,32.0,32.0,170900
2000-02-02,32.125,32.6875,32.125,32.375,32.375,81000
2000-02-03,32.375,35.375,32.25,35.0,35.0,255500
2000-02-04,35.5,37.875,35.5,37.875,37.875,454200
2000-02-07,39.5,39.6875,37.6875,38.0,38.0,370500
2000-02-08,38.0,38.0,36.875,37.375,37.375,224100
2000-02-09,37.25,38.0,37.0,37.0625,37.0625,236700
2000-02-10,37.25,37.75,36.9375,37.375,37.375,62200
2000-02-11,37.625,38.0,37.25,37.3125,37.3125,68100
2000-02-14,37.375,37.9375,37.25,37.875,37.875,54400
2000-02-15,37.9375,38.4375,37.9375,38.1875,38.1875,87900
2000-02-16,38.25,38.6875,38.0,38.375,38.375,44700
2000-02-17,38.5,38.625,37.0625,37.9375,37.9375,83100
2000-02-18,37.6875,37.6875,36.5,36.5,36.5,54800
2000-02-22,36.5625,36.5625,35.75,36.25,36.25,80400
2000-02-23,36.375,37.0,36.125,36.9375,36.9375,108000
2000-02-24,36.9375,36.9375,36.5,36.8125,36.8125,67600
2000-02-25,36.8125,37.125,36.75,37.0,37.0,141900
2000-02-28,37.0,39.375,36.875,38.6875,38.6875,134800
2000-02-29,38.625,39.0,38.4375,38.625,38.625,85700
2000-03-01,38.0,38.625,38.0,38.4375,38.4375,91600
2000-03-02,38.4375,38.4375,37.0625,37.3125,37.3125,46600
2000-03-03,37.25,37.5,36.875,37.3125,37.3125,75200
2000-03-06,37.25,37.25,36.75,36.875,36.875,69400
2000-03-07,37.0,39.25,37.0,38.5,38.5,182700
2000-03-08,38.75,38.75,37.3125,37.5,37.5,205800
2000-03-09,37.5,37.5,36.9375,37.0,37.0,156100
2000-03-10,37.0,38.0,36.875,37.5,37.5,178800
2000-03-13,37.375,38.1875,36.8125,38.1875,38.1875,50200
2000-03-14,38.0,40.125,38.0,38.4375,38.4375,176700
2000-03-15,38.4375,39.9375,36.625,39.25,39.25,139300
2000-03-16,39.3125,43.3125,39.0,42.625,42.625,373800
2000-03-17,42.1875,42.875,41.6875,42.4375,42.4375,121500
2000-03-20,42.6875,43.6875,42.625,42.875,42.875,138100
2000-03-21,42.25,42.9375,41.5,42.9375,42.9375,73300
2000-03-22,43.0625,44.5,43.0625,44.5,44.5,229900
2000-03-23,44.5,44.5,43.3125,44.0625,44.0625,71100
2000-03-24,43.875,44.0,41.5,41.6875,41.6875,130500
2000-03-27,41.8125,41.8125,40.25,40.5625,40.5625,74300
2000-03-28,40.375,40.4375,39.0625,39.5,39.5,218300
2000-03-29,39.125,42.1875,39.125,40.5,40.5,358500
2000-03-30,40.25,41.0,39.8125,40.5,40.5,63400
2000-03-31,40.625,41.75,40.625,40.9375,40.9375,135700
2000-04-03,40.75,40.75,39.75,40.1875,40.1875,50400
2000-04-04,40.375,41.0,39.5,40.0,40.0,123700
2000-04-05,40.0,40.4375,39.8125,40.125,40.125,208400
2000-04-06,40.125,40.9375,40.0625,40.0625,40.0625,143400
2000-04-07,40.25,40.8125,40.1875,40.5625,40.5625,64000
2000-04-10,40.5625,40.6875,40.1875,40.1875,40.1875,105800
2000-04-11,40.5,40.5,40.0,40.0,40.0,62000
2000-04-12,40.125,40.875,39.5,40.3125,40.3125,163000
2000-04-13,39.8125,41.625,39.75,40.9375,40.9375,55100
2000-04-14,41.0,41.125,37.75,38.75,38.75,140400
2000-04-17,39.0,40.375,38.5625,40.375,40.375,80400
2000-04-18,40.625,43.625,40.625,42.6875,42.6875,146100
2000-04-19,42.4375,45.75,42.0,44.375,44.375,176700
2000-04-20,44.375,44.375,43.75,44.0,44.0,134200
2000-04-24,44.0,44.1875,38.25,38.25,38.25,198600
2000-04-25,40.0,44.0,40.0,43.8125,43.8125,143800
2000-04-26,43.9375,43.9375,41.5,41.75,41.75,71500
2000-04-27,41.5,41.5625,40.0,41.0,41.0,46800
2000-04-28,39.75,39.75,34.0,34.5,34.5,952200
2000-05-01,35.0,35.0,30.0,34.8125,34.8125,800200
2000-05-02,34.6875,34.6875,33.75,34.0,34.0,222200
