Date,Open,High,Low,Close,Adj Close,Volume
2003-12-02,9.5,9.625,9.5,9.625,8.71566,160000
2003-12-03,9.75,9.75,9.75,9.75,8.82885,300000
2003-12-04,10.125,10.125,10.125,10.125,9.168421,50000
2003-12-05,10.125,10.125,10.125,10.125,9.168421,0
2003-12-08,10.5,10.9,10.5,10.9,9.8702,954000
2003-12-09,10.9,11.375,10.9,11.065,10.019614,3014200
2003-12-10,11.125,11.5,11.125,11.25,10.187136,2994600
2003-12-11,11.375,11.5,11.315,11.45,10.368236999999999,2203200
2003-12-12,11.5,11.525,11.46,11.475,10.390878,709000
2003-12-15,11.45,11.45,11.2,11.2,10.141856,1287000
2003-12-16,11.175,11.175,10.9,10.975,9.938115,885600
2003-12-17,10.95,10.95,10.7,10.725,9.711734,1150800
2003-12-18,10.725,10.775,10.725,10.775,9.757010000000001,2425200
2003-12-19,10.775,10.9,10.775,10.9,9.8702,1421800
2003-12-22,10.825,10.9,10.825,10.825,9.802286,5200
2003-12-23,10.85,10.925,10.85,10.9,9.8702,133800
2003-12-24,10.9,10.925,10.9,10.925,9.892838000000001,20200
2003-12-26,10.925,10.925,10.925,10.925,9.892838000000001,1000
2003-12-29,10.9,10.9,10.9,10.9,9.8702,1200
2003-12-30,10.925,10.95,10.925,10.95,9.91548,31600
2003-12-31,10.95,11.0,10.95,10.95,9.91548,14200
2004-01-02,11.0,11.225,10.975,11.225,10.164495,557600
2004-01-05,11.225,11.25,11.15,11.2,10.141856,136000
2004-01-06,11.2,11.25,11.195,11.225,10.164495,160600
2004-01-07,11.2,11.2,11.0,11.125,10.073941,283400
2004-01-08,11.175,11.175,11.1,11.13,10.078471,385200
2004-01-09,11.15,11.15,10.575,10.575,9.575906,3456200
2004-01-12,10.625,10.625,10.6,10.6,9.598546,17800
2004-01-13,10.625,10.675,10.48,10.5,9.507992999999999,1069600
2004-01-14,10.525,10.55,10.5,10.5,9.507992999999999,208600
2004-01-15,10.5,10.5,10.375,10.425,9.440078,54200
2004-01-16,10.375,10.45,10.375,10.4,9.417439,493800
2004-01-20,10.5,10.525,10.485,10.5,9.507992999999999,856600
2004-01-21,10.525,10.575,10.5,10.5,9.507992999999999,969600
2004-01-22,10.55,10.8,10.55,10.75,9.734372,863600
2004-01-23,10.75,10.75,10.55,10.6,9.598546,748400
2004-01-26,10.6,10.6,10.425,10.425,9.440078,291600
2004-01-27,10.425,10.425,10.35,10.365,9.385744,994600
2004-01-28,10.375,10.375,10.225,10.25,9.28161,100000
2004-01-29,10.25,10.25,9.875,10.0,9.05523,1169000
2004-01-30,10.0,10.125,10.0,10.0,9.05523,341200
2004-02-02,10.0,10.175,10.0,10.075,9.123146,80800
2004-02-03,10.0,10.155,10.0,10.15,9.191059,1379200
2004-02-04,10.125,10.15,10.125,10.125,9.168421,575200
2004-02-05,10.135,10.135,10.01,10.025,9.077867999999999,649000
2004-02-06,10.075,10.075,10.0,10.025,9.077867999999999,486600
2004-02-09,10.025,10.025,10.0,10.0,9.05523,607400
2004-02-10,10.0,10.05,10.0,10.015,9.068811,544600
2004-02-11,10.04,10.04,10.0,10.0,9.05523,1015600
2004-02-12,10.01,10.025,10.0,10.0,9.05523,188600
2004-02-13,10.01,10.02,10.0,10.02,9.073341000000001,927400
2004-02-17,10.015,10.02,9.9,9.9,8.964678,276200
2004-02-18,9.875,9.925,9.75,9.755,8.833376,442800
2004-02-19,9.765,9.775,9.75,9.77,8.846962,680800
2004-02-20,9.775,9.785,9.75,9.77,8.846962,210200
2004-02-23,9.75,9.76,9.5,9.625,8.71566,94800
2004-02-24,9.6,9.8,9.05,9.22,8.348923,2856800
2004-02-25,9.25,9.625,9.2,9.6,8.693022000000001,2178200
2004-02-26,9.6,9.675,9.55,9.575,8.670385000000001,1029200
2004-02-27,9.55,9.65,9.55,9.65,8.738297,1516600
2004-03-01,9.6,10.1,9.6,10.0,9.05523,1330400
2004-03-02,10.0,10.025,9.875,9.95,9.009953999999999,303800
2004-03-03,9.95,9.995,9.9,9.985,9.041649000000001,465600
2004-03-04,9.975,9.975,9.425,9.9,8.964678,385200
2004-03-05,9.9,9.95,9.875,9.925,8.987317,160800
2004-03-08,9.95,9.95,9.535,9.75,8.82885,99000
2004-03-09,9.8,9.875,9.75,9.75,8.82885,94800
2004-03-10,9.85,9.85,9.7,9.7,8.783576,129800
2004-03-11,9.825,10.05,9.825,9.875,8.942039,2046200
2004-03-12,9.95,10.0,9.875,9.975,9.032592,764400
2004-03-15,9.99,9.99,9.875,9.925,8.987317,35800
2004-03-16,9.95,9.975,9.9,9.95,9.009953999999999,1954800
2004-03-17,9.975,10.275,9.975,10.25,9.28161,1440400
2004-03-18,10.225,10.325,10.2,10.3,9.326886,821600
2004-03-19,10.325,10.35,10.3,10.325,9.349525,66600
2004-03-22,10.325,10.4,10.325,10.375,9.3948,825400
2004-03-23,10.375,10.55,10.375,10.485,9.49441,3840000
2004-03-24,10.485,10.65,10.45,10.65,9.643822,1556200
2004-03-25,11.0,11.075,10.5,10.655,9.648349000000001,1995400
2004-03-26,10.685,10.72,10.65,10.66,9.652874,902800
2004-03-29,10.675,11.1,10.675,10.925,9.892838000000001,1548800
2004-03-30,10.95,11.0,10.835,10.995,9.956225,492800
2004-03-31,10.925,11.1,10.9,11.1,10.051305000000001,1969800
2004-04-01,11.125,11.175,11.075,11.12,10.069416,852600
2004-04-02,11.18,11.25,11.175,11.25,10.187136,1118400
2004-04-05,11.28,11.33,11.15,11.33,10.259576,847600
2004-04-06,11.33,11.4,11.28,11.33,10.259576,683600
2004-04-07,11.33,11.33,11.175,11.2,10.141856,629200
2004-04-08,11.25,11.25,11.075,11.095,10.046777,387400
2004-04-12,11.13,11.16,10.99,11.07,10.024138,500000
2004-04-13,11.015,11.1,10.925,10.995,9.956225,921800
2004-04-14,11.0,11.0,10.75,10.85,9.824924000000001,331000
2004-04-15,10.85,10.85,10.5,10.62,9.616655,383000
2004-04-16,10.67,10.7,10.625,10.675,9.666458,406400
