Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5625,8.625,8.25,8.4375,8.125653,149600
2000-01-04,8.375,8.5625,8.125,8.5625,8.246034,140100
2000-01-05,8.625,8.75,8.125,8.3125,8.005276,199900
2000-01-06,8.3125,8.75,8.3125,8.5,8.185845,216200
2000-01-07,8.5625,8.8125,8.5,8.75,8.426605,164900
2000-01-10,8.625,8.625,8.375,8.5,8.185845,107300
2000-01-11,8.375,8.6875,8.3125,8.625,8.306225999999999,80900
2000-01-12,8.625,8.6875,8.1875,8.1875,7.884896,186600
2000-01-13,8.4375,8.4375,8.3125,8.4375,8.125653,153100
2000-01-14,8.375,8.8125,8.3125,8.6875,8.366415,391900
2000-01-18,8.9375,9.3125,8.6875,9.3125,8.968314,449100
2000-01-19,9.375,9.625,8.75,9.125,8.787746,490600
2000-01-20,9.0,9.0,8.6875,9.0,8.667365,279300
2000-01-21,9.0,9.4375,9.0,9.4375,9.088697999999999,449000
2000-01-24,9.4375,10.1875,9.4375,9.5,9.148888000000001,390900
2000-01-25,9.625,9.875,9.375,9.75,9.389647,208800
2000-01-26,10.125,10.1875,9.8125,9.8125,9.449838,331700
2000-01-27,9.8125,9.875,8.8125,8.8125,8.486797,215000
2000-01-28,8.875,9.125,8.625,8.625,8.306225999999999,190000
2000-01-31,8.625,8.8125,8.5625,8.5625,8.246034,164200
2000-02-01,8.625,8.9375,8.4375,8.9375,8.607178,134100
2000-02-02,9.0,9.5,9.0,9.3125,8.968314,232100
2000-02-03,9.4375,9.4375,8.75,9.0,8.667365,137100
2000-02-04,9.125,9.25,8.5625,8.875,8.546985000000001,99400
2000-02-07,8.9375,8.9375,8.3125,8.6875,8.366415,133900
2000-02-08,8.6875,8.6875,8.3125,8.375,8.065467,189200
2000-02-09,8.375,8.375,8.125,8.125,7.824705000000001,108500
2000-02-10,8.0625,8.375,7.9375,8.3125,8.005276,155800
2000-02-11,8.3125,8.3125,8.0,8.125,7.824705000000001,154300
2000-02-14,8.0,8.0625,7.75,7.875,7.583946000000001,206900
2000-02-15,8.0,8.125,7.75,8.0625,7.764516,665400
2000-02-16,8.0,8.0,7.6875,7.75,7.463564999999999,617200
2000-02-17,7.8125,7.9375,7.5,7.6875,7.403375,211200
2000-02-18,7.75,7.8125,6.75,6.875,6.6209050000000005,630400
2000-02-22,7.125,7.6875,7.0625,7.4375,7.162616000000001,411400
2000-02-23,7.625,7.875,7.25,7.6875,7.403375,468400
2000-02-24,7.5625,7.75,7.4375,7.75,7.463564999999999,273800
2000-02-25,7.6875,7.9375,7.375,7.4375,7.162616000000001,210700
2000-02-28,7.25,7.75,7.1875,7.6875,7.403375,146600
2000-02-29,7.625,8.375,7.5,8.3125,8.005276,363300
2000-03-01,8.1875,9.0,7.875,8.4375,8.125653,387800
2000-03-02,8.3125,8.8125,8.25,8.75,8.426605,385300
2000-03-03,8.6875,8.75,8.1875,8.1875,7.884896,217400
2000-03-06,8.3125,8.5,8.1875,8.375,8.065467,200300
2000-03-07,8.3125,9.5625,8.3125,9.0625,8.727558,551500
2000-03-08,9.0,9.125,8.6875,9.125,8.787746,383800
2000-03-09,9.125,9.5,8.875,9.4375,9.088697999999999,337800
2000-03-10,9.4375,9.6875,8.9375,8.9375,8.607178,184000
2000-03-13,9.1875,9.1875,8.4375,8.4375,8.125653,111500
2000-03-14,8.5625,9.125,8.5625,8.75,8.426605,205100
2000-03-15,8.75,8.9375,8.3125,8.5625,8.246034,296100
2000-03-16,8.75,9.25,8.5625,9.25,8.908128999999999,218400
2000-03-17,8.625,9.25,8.625,9.0,8.667365,384900
2000-03-20,9.125,9.125,8.5625,8.8125,8.486797,190400
2000-03-21,8.8125,9.125,8.6875,9.0,8.667365,232400
2000-03-22,9.0,9.25,9.0,9.25,8.908128999999999,230500
2000-03-23,9.25,9.4375,9.0,9.125,8.787746,124100
2000-03-24,9.0625,9.6875,9.0625,9.375,9.028507000000001,174500
2000-03-27,9.25,9.375,9.0625,9.25,8.908128999999999,80900
2000-03-28,9.25,9.375,8.875,9.0,8.667365,196300
2000-03-29,9.0625,9.3125,9.0,9.1875,8.847938000000001,175400
2000-03-30,9.3125,10.3125,9.3125,10.0,9.630408000000001,362000
2000-03-31,10.125,10.75,10.0,10.5,10.111925,435600
2000-04-03,10.625,10.875,10.25,10.5,10.111925,328400
2000-04-04,10.375,10.375,9.125,9.9375,9.570217999999999,298600
2000-04-05,9.5625,10.0,9.5,9.75,9.389647,198500
2000-04-06,9.875,10.125,9.875,10.0,9.630408000000001,207000
2000-04-07,10.0,10.0,9.5625,9.875,9.510027000000001,120300
2000-04-10,9.9375,9.9375,9.1875,9.1875,8.847938000000001,132500
2000-04-11,9.1875,9.5,9.125,9.1875,8.847938000000001,158100
2000-04-12,9.3125,9.75,9.25,9.6875,9.329456,95900
2000-04-13,9.6875,9.8125,9.6875,9.75,9.389647,123200
2000-04-14,9.625,9.8125,9.625,9.75,9.389647,210500
2000-04-17,9.6875,9.75,9.0,9.5625,9.209078,162600
2000-04-18,9.6875,9.9375,9.1875,9.8125,9.449838,161300
2000-04-19,9.6875,10.1875,9.625,9.75,9.389647,152200
2000-04-20,9.8125,10.125,9.5,9.5625,9.209078,137800
2000-04-24,9.4375,9.8125,9.375,9.8125,9.449838,250000
2000-04-25,9.8125,10.125,9.375,10.125,9.75079,173300
2000-04-26,10.0,10.625,9.4375,9.5,9.148888000000001,310100
2000-04-27,9.5,10.3125,9.5,10.125,9.75079,146700
2000-04-28,10.25,10.5,10.0,10.3125,9.931357,117000
2000-05-01,10.25,10.75,10.1875,10.5,10.111925,207600
2000-05-02,10.375,10.9375,10.25,10.6875,10.292496,306500
2000-05-03,10.75,10.9375,10.4375,10.5,10.111925,253400
2000-05-04,10.625,11.6875,10.5625,11.625,11.195349,522600
2000-05-05,11.625,12.125,11.5625,12.125,11.676872999999999,411400
2000-05-08,11.8125,12.125,11.75,11.8125,11.375916,235000
2000-05-09,11.875,11.9375,11.5,11.5625,11.135159,280400
2000-05-10,11.4375,11.625,11.25,11.4375,11.014778999999999,249000
2000-05-11,11.5,12.125,11.5,12.125,11.676872999999999,571400
2000-05-12,12.125,12.125,11.875,12.0,11.556491000000001,179500
2000-05-15,12.0,12.5,11.9375,12.5,12.03801,236300
2000-05-16,12.5625,13.0,12.5,12.75,12.27877,356300
2000-05-17,12.8125,13.625,12.625,13.5,13.001049,491300
2000-05-18,13.375,13.4375,13.0,13.125,12.639908,417400
2000-05-19,13.0625,13.5,13.0,13.3125,12.820478,334200
2000-05-22,13.1875,13.375,13.1875,13.375,12.880671000000001,242600
2000-05-23,13.375,13.5,13.125,13.125,12.639908,166700
2000-05-24,13.125,13.3125,12.75,13.0,12.519528999999999,252700
2000-05-25,13.0625,13.3125,13.0,13.0,12.519528999999999,384400
2000-05-26,13.125,14.125,13.125,14.0625,13.542759,375000
2000-05-30,14.1875,14.6875,14.0,14.125,13.60295,422200
2000-05-31,14.1875,15.125,13.9375,14.9375,14.385422,474800
2000-06-01,15.1875,15.625,13.875,14.5,13.964091,705300
2000-06-02,14.4375,14.6875,13.5,14.3125,13.783517999999999,319000
2000-06-05,14.1875,14.4375,13.3125,13.8125,13.301998999999999,290400
2000-06-06,13.75,14.25,13.75,13.8125,13.301998999999999,314700
2000-06-07,13.8125,13.875,13.5,13.625,13.121429999999998,353600
2000-06-08,13.5625,13.8125,13.4375,13.625,13.121429999999998,265900
2000-06-09,13.625,13.6875,13.375,13.5625,13.06124,148200
2000-06-12,13.625,14.1875,13.5625,13.875,13.36219,609500
2000-06-13,14.0,14.125,13.875,14.0,13.482567999999999,302200
2000-06-14,14.0,14.125,13.75,13.8125,13.301998999999999,246600
2000-06-15,13.6875,13.875,13.375,13.625,13.121429999999998,718500
2000-06-16,13.75,13.9375,13.625,13.75,13.241810999999998,354000
2000-06-19,13.75,13.8125,13.375,13.75,13.241810999999998,150300
2000-06-20,13.625,13.875,13.125,13.3125,12.820478,281200
2000-06-21,13.3125,13.5,13.1875,13.5,13.001049,648000
2000-06-22,13.5,13.625,13.0,13.0625,12.57972,243200
2000-06-23,13.0625,13.125,12.875,12.875,12.39915,213500
2000-06-26,12.75,13.125,12.625,12.75,12.27877,308000
2000-06-27,12.75,13.25,12.75,12.75,12.27877,584400
2000-06-28,12.75,12.875,12.4375,12.875,12.39915,295300
2000-06-29,12.875,12.875,12.125,12.125,11.676872999999999,475500
2000-06-30,12.375,12.7656,12.3125,12.7656,12.293792,316700
2000-07-03,12.6875,13.0625,12.6875,13.0,12.519528999999999,59700
2000-07-05,12.875,12.9375,12.125,12.125,11.676872999999999,289400
2000-07-06,12.25,12.875,12.1875,12.4375,11.977822,246400
2000-07-07,12.3125,12.6875,12.0625,12.125,11.676872999999999,194900
2000-07-10,12.125,12.25,11.75,12.125,11.676872999999999,171800
2000-07-11,12.25,12.6875,12.1875,12.625,12.158391,554000
2000-07-12,12.625,12.8125,12.25,12.3125,11.857438,391600
2000-07-13,12.25,12.375,11.875,12.375,11.917629,135700
2000-07-14,12.25,12.25,12.0,12.25,11.797249,104000
2000-07-17,12.25,12.375,11.8125,12.0,11.556491000000001,224300
2000-07-18,12.0,12.375,11.875,12.1875,11.737058,193800
2000-07-19,12.0625,12.1875,11.6875,11.8125,11.375916,204900
2000-07-20,11.75,11.9375,11.6875,11.75,11.315729,124700
2000-07-21,11.625,11.625,11.1875,11.3125,10.894397999999999,171000
2000-07-24,11.1875,11.25,10.75,10.75,10.352686,175600
2000-07-25,10.8125,11.125,10.625,10.875,10.473067,371100
2000-07-26,10.875,11.3125,10.75,11.3125,10.894397999999999,202500
2000-07-27,11.1875,11.5,11.0,11.25,10.834208,197900
2000-07-28,11.375,11.5,10.75,11.0,10.593448,233000
2000-07-31,11.1875,11.1875,10.75,10.75,10.352686,179800
2000-08-01,10.875,11.4375,10.875,11.3125,10.894397999999999,88000
2000-08-02,11.375,11.6875,11.1875,11.5625,11.135159,185500
2000-08-03,11.5,11.5625,11.1875,11.5,11.074968,226000
2000-08-04,11.4375,11.625,11.1875,11.375,10.954588000000001,72500
2000-08-07,11.3125,12.0,11.25,11.75,11.315729,208800
2000-08-08,11.9375,12.1875,11.8125,11.875,11.436107000000002,361300
2000-08-09,12.0,12.5625,12.0,12.5625,12.098202,344800
2000-08-10,12.5625,13.0,12.4375,12.8125,12.33896,360900
2000-08-11,12.6875,12.9375,12.375,12.8125,12.33896,302200
2000-08-14,12.8125,13.25,12.6875,13.0625,12.57972,390200
2000-08-15,13.0625,13.125,12.4375,12.5,12.03801,199200
2000-08-16,12.5,13.375,12.5,13.25,12.76029,184200
2000-08-17,13.25,14.0,13.1875,13.9375,13.422382,213100
2000-08-18,13.875,13.9375,13.4375,13.4375,12.94086,88400
2000-08-21,13.6875,13.75,13.125,13.375,12.880671000000001,118600
2000-08-22,13.375,13.875,13.375,13.5,13.001049,222700
2000-08-23,13.625,13.875,13.5,13.875,13.36219,285600
2000-08-24,13.8125,13.875,13.5,13.875,13.36219,299700
2000-08-25,13.75,13.875,13.5,13.5625,13.06124,566300
2000-08-28,13.6875,14.1875,13.6875,13.875,13.36219,304000
2000-08-29,13.9375,14.0,13.875,13.9375,13.422382,212000
2000-08-30,14.0,14.0,13.625,13.6875,13.181623000000002,70900
2000-08-31,13.625,13.9375,13.5,13.875,13.36219,1068200
2000-09-01,13.875,14.3125,13.875,14.3125,13.783517999999999,101200
2000-09-05,14.25,14.4375,14.0,14.0625,13.542759,291500
2000-09-06,14.0625,14.5625,13.8125,14.5,13.964091,299900
2000-09-07,14.5625,14.625,14.1875,14.625,14.084472,234300
2000-09-08,14.625,14.625,14.1875,14.1875,13.663142,119600
2000-09-11,14.25,14.6875,14.125,14.4375,13.903898000000002,231400
2000-09-12,14.5,14.5625,14.375,14.4375,13.903898000000002,501300
2000-09-13,14.5,14.5,14.3125,14.4375,13.903898000000002,284000
2000-09-14,14.5,14.5,14.375,14.5,13.964091,163000
2000-09-15,14.3125,14.875,14.3125,14.625,14.084472,456600
2000-09-18,14.6875,15.8125,14.6875,15.8125,15.228081,1052600
2000-09-19,15.875,16.0,15.3125,15.5,14.927131,687300
2000-09-20,15.5,16.0625,15.3125,15.375,14.80675,621600
2000-09-21,15.3125,15.3125,14.25,14.25,13.723329999999999,541400
2000-09-22,13.9375,14.4375,13.9375,14.125,13.60295,273800
2000-09-25,14.0,14.125,13.5,13.75,13.241810999999998,357100
2000-09-26,13.875,14.75,13.875,14.4375,13.903898000000002,156300
2000-09-27,14.4375,14.75,14.375,14.4375,13.903898000000002,346000
2000-09-28,14.5625,14.5625,14.0,14.5,13.964091,172400
