Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.28125,5.28125,5.0625,5.109375,4.6110120000000006,770400
2000-01-04,5.0625,5.125,5.046875,5.085938,4.589861,620800
2000-01-05,5.078125,5.109375,4.992188,5.085938,4.589861,845600
2000-01-06,5.085938,5.125,5.0625,5.09375,4.59691,265600
2000-01-07,5.109375,5.148438,5.09375,5.109375,4.6110120000000006,1012800
2000-01-10,5.140625,5.171875,5.0625,5.171875,4.667416,973600
2000-01-11,5.28125,5.375,5.171875,5.203125,4.6956169999999995,300800
2000-01-12,5.21875,5.21875,5.0625,5.109375,4.6110120000000006,419200
2000-01-13,5.109375,5.4375,5.109375,5.421875,4.893032,1065600
2000-01-14,5.375,5.5,5.296875,5.304688,4.787273,999200
2000-01-18,5.375,5.609375,5.375,5.609375,5.062243,903200
2000-01-19,5.625,5.742188,5.625,5.734375,5.175051,996800
2000-01-20,5.828125,6.046875,5.796875,6.046875,5.457069000000001,563200
2000-01-21,6.125,6.890625,6.125,6.8125,6.148015,1504000
2000-01-24,6.8125,7.125,6.78125,6.859375,6.190319000000001,1003200
2000-01-25,6.875,6.875,6.171875,6.242188,5.633332,2020000
2000-01-26,6.257813,6.257813,5.828125,5.984375,5.400665,1252000
2000-01-27,5.984375,5.984375,5.5,5.59375,5.048141,848800
2000-01-28,5.59375,5.804688,5.40625,5.5,4.963536,2183200
2000-01-31,5.5,5.5,5.265625,5.375,4.850728,964800
2000-02-01,5.34375,5.5625,5.3125,5.546875,5.005838,1068800
2000-02-02,5.539063,5.703125,5.3125,5.34375,4.822526,312000
2000-02-03,6.234375,6.5,6.0,6.382813,5.760241000000001,2494400
2000-02-04,6.5,6.96875,6.484375,6.8203130000000005,6.155066000000001,2258400
2000-02-07,6.828125,7.46875,6.828125,6.9375,6.260825,1303200
2000-02-08,6.9375,7.09375,6.71875,7.0,6.317229,1018400
2000-02-09,7.125,7.46875,7.125,7.3203130000000005,6.6062970000000005,1652000
2000-02-10,7.3203130000000005,7.625,7.3203130000000005,7.625,6.881264999999999,823200
2000-02-11,7.625,7.625,7.09375,7.1875,6.486438,446400
2000-02-14,7.1875,7.25,7.1875,7.2109380000000005,6.507591000000001,395200
2000-02-15,7.234375,7.234375,7.0703130000000005,7.078125,6.387732,536000
2000-02-16,7.109375,7.140625,7.0,7.0703130000000005,6.380682,235200
2000-02-17,7.140625,7.171875,7.0625,7.109375,6.415933,860000
2000-02-18,7.109375,7.1953130000000005,7.09375,7.15625,6.458235,677600
2000-02-22,7.234375,7.4453130000000005,7.140625,7.421875,6.697953,747200
2000-02-23,7.390625,7.5,7.265625,7.4609380000000005,6.733206,1535200
2000-02-24,7.546875,8.75,7.546875,8.578125,7.741422999999999,1708800
2000-02-25,8.625,9.125,8.296875,8.515625,7.6850190000000005,2537600
2000-02-28,8.96875,9.273438,8.84375,9.25,8.347764,1039200
2000-02-29,9.59375,9.59375,9.226563,9.328125,8.418271,2193600
2000-03-01,9.625,9.90625,9.5,9.882813,8.918853,1716000
2000-03-02,10.015625,10.046875,9.664063,9.8125,8.855398,1100000
2000-03-03,9.71875,9.84375,9.6875,9.703125,8.756691,696800
2000-03-06,9.703125,9.867188,9.625,9.867188,8.904753,707200
2000-03-07,9.875,9.9375,9.5625,9.648438,8.70734,768000
2000-03-08,9.515625,9.640625,9.132813,9.640625,8.700288,1144000
2000-03-09,9.75,9.921875,9.75,9.875,8.911802,623200
2000-03-10,9.875,9.875,9.375,9.40625,8.488774000000001,586400
2000-03-13,9.28125,9.359375,9.023438,9.09375,8.206756,644000
2000-03-14,8.859375,8.859375,7.25,7.5,6.768457000000001,2542400
2000-03-15,7.5,8.4375,7.46875,8.3125,7.501709,1606400
2000-03-16,8.5,9.1875,8.5,9.1875,8.291362,720000
2000-03-17,9.09375,9.15625,9.0,9.125,8.234956,553600
2000-03-20,9.0625,9.132813,9.039063,9.09375,8.206756,345600
2000-03-21,9.0625,9.234375,8.96875,9.234375,8.333664,534400
2000-03-22,9.234375,9.921875,9.234375,9.90625,8.940007000000001,686400
2000-03-23,9.90625,10.171875,9.859375,9.875,8.911802,1524000
2000-03-24,9.84375,9.84375,8.78125,8.882813,8.016392,1370400
2000-03-27,9.054688,9.164063,8.5,8.5,7.67092,1789600
2000-03-28,8.71875,9.15625,8.71875,9.085938,8.199703999999999,1624800
2000-03-29,9.085938,9.1875,8.609375,8.625,7.783728,860000
2000-03-30,8.4375,8.867188,8.4375,8.695313,7.8471779999999995,1351200
2000-03-31,8.78125,8.96875,8.78125,8.921875,8.051642999999999,804000
2000-04-03,9.03125,9.75,9.03125,9.21875,8.319564999999999,407200
2000-04-04,9.21875,9.21875,7.5,7.90625,7.135083,594400
2000-04-05,8.1875,8.96875,7.984375,8.75,7.896533,1262400
2000-04-06,8.75,8.765625,8.28125,8.34375,7.529908,311600
2000-04-07,8.5625,8.625,8.40625,8.546875,7.713222,170800
2000-04-10,8.515625,9.4375,8.515625,9.109375,8.220857,539600
2000-04-11,9.40625,9.65625,8.1875,8.3125,7.501709,672400
2000-04-12,8.4375,8.6875,8.0625,8.0625,7.276092,326000
