Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.625,26.75,25.75,26.125,16.555895,887000
2000-01-04,26.125,26.625,25.9375,25.9375,16.437073,877700
2000-01-05,25.625,26.3125,25.5,26.25,16.635111,970500
2000-01-06,26.25,26.5625,25.875,26.375,16.714329,1218100
2000-01-07,26.625,28.375,26.5,27.9375,17.704506,1549500
2000-01-10,28.3125,28.5,27.5625,27.625,17.506479000000002,794200
2000-01-11,27.5625,27.875,27.1875,27.5625,17.466867,790700
2000-01-12,27.5625,27.625,26.3125,26.5,16.793541,1326800
2000-01-13,26.5625,26.6875,26.0,26.1875,16.595505,1042500
2000-01-14,25.9375,26.0625,25.1875,25.375,16.080612,1100800
2000-01-18,23.0,23.0,18.8125,19.0,12.04065,8621000
2000-01-19,19.0,19.75,18.875,19.6875,12.476335,8641600
2000-01-20,19.9375,20.1875,18.4375,18.75,11.88222,6643600
2000-01-21,19.0,19.625,18.625,19.625,12.436722999999999,5781400
2000-01-24,19.9375,20.125,18.1875,18.3125,11.604972,4579600
2000-01-25,19.5,20.25,18.75,20.0,12.674369,3517200
2000-01-26,20.5,21.9375,20.3125,21.5,13.624947,3084700
2000-01-27,22.0,23.375,21.9375,23.0625,14.615131,3148500
2000-01-28,23.125,24.5625,22.75,24.0625,15.248854999999999,1733500
2000-01-31,24.125,24.125,22.1875,22.8125,14.456697,2113800
2000-02-01,22.75,22.75,21.4375,21.9375,13.902196,1889700
2000-02-02,21.9375,22.5625,21.5,22.5,14.25866,862600
2000-02-03,22.375,22.4375,21.4375,22.1875,14.060629,1382600
2000-02-04,22.1875,22.1875,21.625,22.0,13.941803,1460700
2000-02-07,22.75,22.75,21.25,21.625,13.704157999999998,1188000
2000-02-08,21.75,22.3125,21.25,21.5625,13.664553,1830900
2000-02-09,21.5,22.0,21.125,21.25,13.466517999999999,2175900
2000-02-10,21.3125,21.5,20.9375,20.9375,13.268476000000001,994400
2000-02-11,20.9375,21.0,20.75,20.875,13.22887,589100
2000-02-14,20.9375,21.0,20.3125,20.375,12.912016,1008600
2000-02-15,20.5,20.75,20.25,20.25,12.8328,1528400
2000-02-16,20.375,20.5,20.0,20.0,12.674369,753800
2000-02-17,20.3125,20.4375,19.875,19.875,12.595158999999999,825100
2000-02-18,19.875,20.125,19.4375,19.6875,12.476335,999700
2000-02-22,19.5,21.0625,19.125,20.9375,13.268476000000001,1033700
2000-02-23,20.125,20.3125,19.125,19.1875,12.159469999999999,1171400
2000-02-24,19.3125,19.625,18.875,19.375,12.278293,1551800
2000-02-25,19.375,19.625,19.125,19.3125,12.238688,1306800
2000-02-28,19.3125,19.5,19.0,19.0,12.04065,951300
2000-02-29,18.9375,18.9375,18.375,18.5,11.723798,1970800
2000-03-01,18.5,18.6875,18.375,18.6875,11.842614999999999,926000
2000-03-02,18.75,18.75,18.1875,18.25,11.565367,1121400
2000-03-03,18.125,18.1875,17.8125,18.0,11.406931,1780500
2000-03-06,18.0,18.0,17.625,17.875,11.32772,1451300
2000-03-07,17.8125,17.875,17.5625,17.875,11.32772,1759000
2000-03-08,17.9375,18.1875,17.875,18.0,11.406931,2364700
2000-03-09,18.0,18.3125,17.75,18.1875,11.525756,1522300
2000-03-10,18.25,18.25,17.625,17.75,11.248503,1727400
2000-03-13,17.625,18.5,17.5,18.4375,11.684185000000001,1588300
2000-03-14,18.5625,18.5625,18.0625,18.125,11.486146000000002,1023800
2000-03-15,18.125,19.375,18.125,19.25,12.199078,1410500
2000-03-16,19.5,19.875,18.875,19.5,12.357503999999999,1487000
2000-03-17,19.25,20.625,19.25,20.25,12.8328,2024400
2000-03-20,20.125,20.125,19.625,19.875,12.595158999999999,771500
2000-03-21,19.625,19.8125,19.1875,19.375,12.278293,1068400
2000-03-22,19.4375,19.4375,18.9375,19.0,12.04065,709900
2000-03-23,19.0625,19.25,18.4375,18.8125,11.92183,1004700
2000-03-24,18.625,19.375,18.25,18.3125,11.604972,2393100
2000-03-27,18.375,18.9375,18.125,18.609301000000002,11.79306,2289700
2000-03-28,18.25,19.0,18.25,18.875,11.961433,1625200
2000-03-29,18.9375,19.1875,18.6875,19.0,12.04065,1773000
2000-03-30,18.875,18.9375,18.25,18.3125,11.728425,2192000
2000-03-31,18.5625,18.5625,17.6875,17.75,11.368169,2644400
2000-04-03,18.125,18.3125,18.0625,18.25,11.688403,1225200
2000-04-04,18.25,18.8125,18.0625,18.4375,11.808487,2248000
2000-04-05,18.625,19.75,18.3125,19.6875,12.609061,2638600
2000-04-06,20.25,21.8125,19.75,20.75,13.289546,3069500
2000-04-07,21.0,21.25,20.0,20.25,12.969314,1372800
2000-04-10,20.25,21.125,20.25,20.6875,13.249516,951500
2000-04-11,20.5625,20.8125,20.125,20.625,13.209496,1047200
2000-04-12,20.75,22.4375,20.5625,21.625,13.849951,2006200
2000-04-13,21.6875,21.9375,21.0625,21.4375,13.72986,1175700
2000-04-14,21.0625,21.125,19.75,19.875,12.729142999999999,1446900
2000-04-17,19.125,20.0625,19.125,20.0625,12.84923,1235700
2000-04-18,20.125,20.125,19.625,19.6875,12.609061,809700
2000-04-19,19.3125,19.875,19.1875,19.6875,12.609061,545600
